	평점	일시	감상평
167	10	2019.12.31 22:13	무슨 긴 말이 필요할까요꼭 보세요 후회 안합니다
168	10	2020.01.01 17:17	바다는 그들을 기억한다
169	10	2020.01.01 13:27	이게 9점대가아니라고??내가본 과거전쟁영화중 최고 입벌리고봤는데 중간에싸울땐 이거까내리는게 알바임 아님 역사도아예몰라서 대화도전혀 이해못해서 쳐졸다가 전쟁씬보고 까는글들..ㅉ
170	10	2019.12.31 21:08	CG가 형편없다는 평이 있는데 SBD 돈틀리스의 급강하 장면은 모든 혹평을 지워버릴 정도로 최고다. 그리고 한국은 광복군 그만 추켜세워라. 미군이 핵폭탄 2발을 터뜨려 항복을 받아냈는데 보병 4백명으로 어떻게 조선반도에 진입한다는거냐. 
171	10	2019.12.31 15:37	백두산 보다 10배 볼만한 영화다.이제 좌빨 주사파 영화 몸서리 처진다.
172	9	2020.01.07 16:59	폭격기에서 항공모함으로 돌진하는 영상씬이 제일 기억에 남는 장면입니다.
173	8	2020.01.05 07:01	이해를 못하겠다.백두산도 보고 시동 미드웨이도 본사람으로 아직도 백만을 찍지 못했다는게 의아하다.백두산보다 훨 좋다.
174	10	2020.01.04 21:09	소니는 제작을 수OO간 방해하고,일본 정부는이 영화가 참패하기를 바라고 있다고 국내기사가아닌 미국의 기사를 봤다.이 영화때문의 미국의 10~20대들이 일본을다시보고 있다고 하는데국내 평론가란 사람들은  4~6점  평점주고,국내 일부 개봉관들은 교차상영하며 백두산을 3~5개 관에서 하고...힘이 없어서 할 수 있는게 없다만 한줄평은마치 그 전장에 있는듯한 현실감, 스펙타클후회없는 영화! 명장 감독과 명 배우들 
175	10	2020.01.01 19:41	미드웨이 상공에 있는 줄 알았다.역대급 항공전.이 해전을 기점으로당시 일본제국은 망국의 길에 들어섬.
176	10	2020.01.01 00:47	급강하해서 폭탄 떨굴때 내손이 다 떨렸다 ㅎㅎ
177	10	2019.12.31 23:22	윈스턴 처칠경이 전쟁사의 조류를 바꿨다고 극찬한 브리튼 전투에 비견되는 아니 그 보다더 위대한 전투였습니다그들의 용기와 헌신이 있었기에 우리나라도 광복을 맞이할 수 있었습니다 아메리카합중국 만세!
178	10	2019.12.31 23:21	올해 최고의 영화. 시간가는 줄 모르고 봄.
179	10	2019.12.31 22:07	미국의 승전,일본의 항복,대한민국의 해방에중요한 역할을 했던 해전임!
180	10	2019.12.31 21:52	정말 제대로 만든 전쟁영화~~! 역사적 사실을 알고 보면 더욱 재밌음~!!
181	10	2019.12.31 20:29	진짜 짱짱짱입니다 이런것은 대형스크린 으로 봐야죠아니 겨울왕국2 독과점 상영한다고 발광하던 관종짓하던 팽이 들이 이번 백두산은 왜?가만히있냐 제발 이영화 상영관 좀늘려라 추운데 먼곳까지 찿아다니다가봤다 아직흥분이 안가라앉네 또내 이럴줄알았다 문빠 좌익들 평점깍기 돌입하네 에구 
182	10	2019.12.31 19:45	실감나는 태평양전쟁의 해전씬만으로도 10점만점에 10점!!
183	10	2019.12.31 17:48	최곱니다~~!!미드웨이해전을 한번에 느낄수 있었어요~
184	10	2019.12.31 17:42	대규모 전투신의 고증에 놀라고 일본이 참패당하는 과정에 전율이 올라오는 최고의 영화입니다
185	10	2019.12.31 17:25	무적의 엔터쟝 일본 때리는 영화
186	10	2019.12.31 16:45	긴장감 좋고 팡팡터지는 액션으로 꽉참
187	10	2019.12.31 16:33	정말 감동스럽게 보고 갑니다.
188	10	2019.12.31 10:53	오랫만에 극장에서 스케일 쩌는 영화 봄. 이런영화가 개봉해야지..암
189	10	2020.01.04 17:24	일본은 쳐 부셔야 제맛이죠백두산보다 천만배 잼있는게 봤습니다
190	10	2019.12.31 23:06	그 시절 진주만 폭격 이후 미국이 열세일지 몰랐네요. 웰메이드 영화입니다.
191	10	2019.12.31 22:44	걍 박스오피스 1위 당연함
192	10	2019.12.31 16:30	몰랐던 역사를 알았어요
193	10	2019.12.31 14:33	국뽕빼고 우리나라가 광복할 수 있었던 이유는 이거다
194	10	2020.01.01 10:55	진행속도가 빠르고, 전쟁 중 심리전에 대한 묘사가 뛰어나요. 수작입니다.강추
195	10	2019.12.31 23:43	우리를 독립시켜준 미국에게 너무너무 감사하다. 임진왜란때 그렇게 당하고 똥인지 오줌인지도 모르고 살았던 조선왕들이 너무나 한심할뿐
196	10	2019.12.31 21:55	이런 대작을 상영관이 제한되고 3류 쓰레기 빨갱이 영화 백두산이 600만 이라니
197	9	2020.01.03 20:47	완전 미국 국뽕 영화임에도 불구하고 전투씬이 정말 대단했다. 급강하폭격씬은 정말 멋있었고, 그 큰 항모위에 폭탄 하나 투하하는 게 저렇게 어려울 줄은 몰랐다 ㅋ 1945년이라는 게임이 생각나는 영화였다. 전투씬이 넘 대단해서 몰입감이 줄지 않았다. 전투씬만 고려해도 티켓 값은 아깝지 않다. 알바 아님은 참고하고 
198	7	2019.12.31 17:44	미국하고 일본하고 저렇게 싸웠는데 지금 미국과 일본은 굳건한 동맹 ㅋㅋㅋ 그러나 우리나라는 좌파들의 선동에 또 반일 감정 ㅋㅋㅋ 역시 우리나라는 항상 감성적이고 다혈질적이고 고지식한 성격들은 세월이 지나도 못 고침 ㅋㅋㅋ 즉 순서를 모름 깔깔깔깔 
199	10	2020.01.05 01:38	기대안하고 봤다가 깜짝 놀람. 요즘 개봉한 영화중 제일 재밌게 봤어요.
200	10	2020.01.04 23:07	영화보는 내내 숨죽이고 봤어요 직하강하는 전투기 조종사들 짱멋지고, 대의를 위한 숭고한 희생에, 영화 끝나고 한참을 못일어났어요..
201	9	2020.01.04 18:11	꿀잼이었습니다. 실화바탕이라 더 재밌었네요
202	10	2020.01.03 08:27	이 영화는 세계사에 관심도 없는 어중이 떠중이들은 오히려 안보는게 나을 정도로 수작이다. 질 낮은 애들은 그냥 질 낮은 영화만 찾아다니면 됨 ^^
203	10	2020.01.02 17:14	전쟁영화 중 손꼽을만함 스토리 상타 전투신 쩐다
204	10	2020.01.01 19:40	간만에 영화다운 영화를 봤네요..액션도  긴장감  있고 .시간 가는 줄 모르게...배울점도  있네요..부하를 믿는  니미츠 제독의  리더쉽...good!   ..
205	8	2020.01.01 17:46	전통적인 전쟁 영화였다!
206	10	2020.01.01 14:44	Thanks for United State.
207	10	2019.12.31 22:04	장면 하나하나가 눈에 잘 들어왔어요!! 재밌게 잘 관람했어요!!
208	9	2019.12.31 16:17	극장에서 봐야 합니다  큰관내놔라~영화보면서 추임새넣는어머나.어떻게~,어머어머,왠일이니,등등어우!진짜! 조용히 보자 !
209	8	2020.01.05 04:51	미국이 좋든 싫든 우리의 우방국가이며 미국이 없었다면 지금쯤 우리나라는 북한이나 중국처럼 자유가 없는 나라였음에는 자명하다. 미국의 목적과 의도가 우리가 생각하는 것처럼 숭고하지 않았으며 그들의 이익을 위해 한반도를 구했다고 할지라도. 우리는 감사한 마음을 갖고 있어야 한다. 대게 이러한 부분은 생각지도 않고 갖잖게 얻은 지식과 선동에 휩싸여 반미감정을 갖고있는 것을 반성해야 한다. 문재인 뽑은 멍청한 개돼지 국민들아...나는 니들이 제발 이 나라에서 떠났으면 한다. 
210	8	2020.01.03 14:40	백두산볼까하다가 평점이 안좋길래 미드웨이 부모님 예매해드렸는데 재밌었다고 하시네요.
211	10	2020.01.02 21:37	극장에서 돈주구보는 영화는 이래야지 암.스트레스풀림
212	9	2020.01.02 09:02	54세 51세 부부가 봤어요..잼납니다.알바 아녀요
213	10	2020.01.02 08:18	시간 가는줄 모르고 잘 봤네요.
214	10	2020.01.02 04:35	이게 진짜 영화지 씨발  백두산 같은 그지영화 보는 인간들은 뭐냐
215	10	2020.01.06 11:52	엄청 재밌네요 어떻게 이런 영화를 만들수가 있고 실제로 이런 전쟁이 있었다는게 믿기지가 않네요
216	10	2020.01.06 06:04	손에땀을 쥐고 본것 같아요.영상미가 대단합니다.
217	8	2020.01.05 19:10	스케일이 달라요ㆍ헐리우드영화답네요ㆍ지루할시간이없어요ㆍ미국이 이기는바람에 우리가 나라를  되찾은건 아이러니해요ㆍ그때 강제로징용가신 큰삼촌들이 저렇게 돌아가셨구나싶어 가슴이 먹먹했어요ㆍ배가 폭격을맞아 시체도없이  모래한줌과  사망통지서가 왔다고하더군요ㆍ많은걸느끼게하는 영화에요ㆍ 
218	8	2020.01.05 11:15	항공모함의 총알들을 피해 돌진하는 내내 긴장됨
219	9	2020.01.05 08:56	실제 이러했다는데, 용감하데요.아마 미국이 졌으면,세상이 많이 바뀌었을것 같네요.아직도 눈에선하네요,마직막 히류항모에 뛰어드는 미해병대 급강하 폭격기들이..!!잘봤어요, 추천합니다. 보기드문 해전씬 입니다.
220	10	2020.01.04 13:32	전쟁영화  좋아안하는데 재미 있게 봤습니다전투신 모두 좋았어요
221	8	2020.01.03 15:36	재밌게 봣습니다.. 굿굿굿
222	10	2020.01.02 10:00	박평식 영화는 보고 평가하니??ㅉㅉ
223	10	2020.01.01 22:22	아래 영회들 다봤음. 1위.미드웨이.공동2위.천문, 시동4위. 백두산
224	10	2020.01.01 17:47	백두산 같은 ㅆㄹㄱ영화보고 언첬었는데 미드웨이 보고 소화가 되었습니다
225	10	2020.01.01 14:52	가족과 함께 봤습니다. 재미있게 봤는데 아쉬운 점은 상영관이 별로 없고 상영하는 기간도 짧다는 거네요.
226	10	2020.01.01 03:13	예매 할려고 집근처 두군데 보니 큰관은 다 백두산이 아직도 점령 작은관 2곳 상영이 말이되냐 ㅡㅡ
227	10	2019.12.31 23:39	일본 폭격 맞을때 나도모르게 박수침ㅋㅋㅋㅋ
228	9	2019.12.31 22:18	결말은 예측 가능했지만, 그래도 대규모 전쟁씬이 정말 멋있었습니다.
229	8	2019.12.31 20:32	평식이형 백두산, 인랑에 5점줬는데 이영화에 4점 너무하지 않나
230	10	2019.12.31 16:33	재미있었음 굿굿
231	10	2019.12.31 16:17	전율이 돋는다....
232	10	2019.12.31 14:17	상영 시간대좀 늘려라..두번 볼거다..
233	10	2019.12.31 12:11	방금 보고 왔는데 개 재밌음 재미 없을수가 없다
234	10	2020.01.11 14:16	남자친구랑 보라갔었는데 이거 보고나오면서 자꾸 군인한다그랬어여ㅋㅋ그만큼 진짜 집중도 높았고 연출 연기 뭐하나 빠지는거 없이 너뮤 재밌게봤습니다 요즘 영화재밌는거 없었는데 천문이랑 투톱인듯해여 ㅎㅅㅎ굳굳
235	10	2020.01.08 14:14	일본놈들이 싫지만 영화에서 나오는 미군조차도 일본에게 압도적 열세라고 인정하고 시작한걸 보니 일본놈들이 대단하긴 대단했었나봐요. 그걸 극복하고 승리하기 위해 목숨을 바친 분들께 정말 진심으로 경의를 표합니다.
236	10	2020.01.04 18:45	미드웨이 재미있게 봤습니다. 중간중간 짧은 장면을 이해 할려면 실제 역사를 알아야 하지만 몰라도 재미있게 볼수 있는 영화 같아요.
237	10	2020.01.04 18:35	스토리 보다는 엄청난 물량의 CG효과와 사운드가 돋보입니다
238	9	2020.01.04 06:41	에머리히 감독이라서 무시하고 봤다가 한방먹었네요. 1억불제작비로 이런 영상이 가능한가? 이런생각이 계속 들었어요. 곁가지쳐내고 묵직함으로 승부하는 전투액션수작
239	10	2020.01.01 07:09	에머리히 감독이라서 무시하고 봤다가 한방먹었네요. 1억불제작비로 이런 영상이 가능한가? 이런생각이 계속 들었어요. 곁가지쳐내고 묵직함으로 승부하는 전투액션수작
240	10	2019.12.31 23:15	진짜 손에 땀을 쥠...
241	10	2019.12.31 22:11	수원 롯데 영화관 스크린 제일 작은곳에3.5.7관 위대한 역사상 가장 큰 스케일 영화들 방영하고 있다..망해라 롯데시네마
242	10	2020.01.01 15:11	미드웨이 안보고 백두산같은 쓰레기 영화보는 친일빨갱이 없제?
243	8	2019.12.31 21:43	백두산 같은 허접영화는 온극장을 도배하고 이런 영화는 극장 찾게만드는 조선놈들의 영화 수준  정말 웃겨스토리텔링은 조금그러나 고전영화에 현대기술을 더한 재미 공중전은 압권 극장에서 보길 추천
244	10	2019.12.31 16:49	한일관계를 위해 반일영화 만들지 말라는 놈을은 이 영화나 봐라~ 미국도 반일국가야^^ kill more japs!
245	10	2020.01.06 05:25	한마디로 이 시국에 보는 영화
246	10	2020.01.06 04:07	군인들이 정말 대단한 분들이라는 것을 다시 한번 깨우치게 해준 명ㅡ작,지금껏 본 영화 가장 감명 받은 인ㅡ생작,모든게 완벽하다정말로;
247	10	2020.01.06 02:52	자꾸 서사니 로맨스가 빠졌느니 뭐니 하는데, 미드웨이 해전은 그 자체가 기적이요 대서사다. 주인공은 왜 무적이야 뭐 이 ㅈㄹ 하는데, 실제 그랬단 것이고 유튭 역사채널을 보면 영화가 미처 담지 못한 아주 흥미롭고 긴장감 넘치는 반전드라마가 많다. 영화를 보고 느낀 점은 스타워즈 제다이 귀환의 모티브가 아니었을까 싶을 정도. 평론가는 역사 공부하고 다시 봐라. 
248	10	2020.01.06 00:19	씬, 스토리 모두 최고였다. 개인적으로 당시 일본의 국력이 정말로 강력했음을 알 수 있었고, 이에 맞서 대한민국의 광복을 되찾아준 미국에 대한 감사함과 위대함을 다시금 상기할 수 있었다. 그리고 광복의 결정적 계기가 미국에 있었음을, 우리의 교과서들이 정확히 서술해야 한다고 생각하였다. 
249	10	2020.01.06 00:08	내가 백두산보고 이거 봤는데 진짜 클라스가 다름...
250	10	2020.01.05 23:57	공군 항공기정비대대 출신으로 이 영화를 보며 4번 대성통곡 할 뻔 했습니다. 최고의 공중전을 보여주는 영화!!
251	10	2020.01.05 23:06	이 영화 완전 숨겨진 수작같네요. 개봉관이 많이 없어서 그냥 집근처에서 봤는데, 아이맥스로 봤었다면 정말 장난아니었을거 같아요. 실화라 더 재밌고 공감가고 전투신이 정말 화려해요. 마지막엔 감동받아서 살짝 눈물도 났네요. 
252	10	2020.01.05 22:17	지금까지 본 전투 영화중 제일 재밌었음. 전쟁시 전투라는 게 이런거구나 하고 리얼하게 보여준듯. 벤 애플릭 주연의 영화 진주만보다 더 리얼하고 스케일이 컸다고 느낌.
253	9	2020.01.05 22:05	우리나라도 625전쟁 영웅들 영화화했으면 좋겠음전쟁중에 북한군이랑 우정느끼는 OO은거말고
254	9	2020.01.05 19:58	아..진짜 영화가 빈틈이 없네..
255	10	2020.01.05 18:12	여태까지 본 전쟁영화중 손에 꼽는 영화였다. 평론가들은 이정도 영화에도 불만이 가득해보이는데 역대급 공군 해군 전쟁영화인거같다.
256	10	2020.01.05 17:51	재밌는데 재미 없다는 새끼들은 머냐 ㅋㅋ 그럼 어떤 게 재밌는거냐 ? 아오 빡쳐 이런 게 영화지 역시 영화는 미국 영화지 해군 짱 ~~ !
257	10	2020.01.05 12:52	최고의 영화.시간 가는 줄 모르고 봤다.
258	10	2020.01.05 11:33	너무재밌고 멋진영화다.비행전투장면도 말할것도 없고, 모든게 진주만의 업그레이드 버전!!미국이란 나란 미쳤다. 평화에 미친나라 한국전쟁때 희생한 미군들에게도 존경과 감사를 표합니다
